year,category,nominee,workers,winner
2000,Best Latin Rock/Alternative Performance,Resurrection,Chris Perez Band,TRUE
2000,Best Long Form Music Video,Hendrix: Band of Gypsys,"Bob Smeaton (video director), Chips Chipperfield (video producer), Neil Aspinall (video producer), Jimi Hendrix (artist)",TRUE
2000,Best Long Form Music Video,Gloria Estefan: Don't Stop,"Gloria Estefan (artist), Mo Fitzgibbon (video director/video producer), Robert W. Walker (video producer)",FALSE
2000,Best Long Form Music Video,U2: PopMart Live from Mexico City,"Bono (artist), Adam Clayton (artist), Larry Mullen Jr. (artist), The Edge (artist), David Mallet (video director), Ned O'Hanlon (video producer)",FALSE
2000,Best Male Country Vocal Performance,Choices,George Jones,TRUE
2000,Best Male Pop Vocal Performance,Brand New Day,Sting,TRUE
2000,Best Male R&B Vocal Performance,Staying Power,Barry White,TRUE
2000,Best Male Rock Vocal Performance,American Woman,Lenny Kravitz,TRUE
2000,Best Male Rock Vocal Performance,Can't Change Me,Chris Cornell,FALSE
2000,Best Male Rock Vocal Performance,Hold On,Tom Waits,FALSE
2000,Best Merengue Performance,Pintame,Elvis Crespo,TRUE
2000,Best Metal Performance,Iron Man,Black Sabbath,TRUE
2000,Best Mexican-American Performance,100 Años De Mariachi,Plácido Domingo,TRUE
2000,Best Musical Album for Children,The Adventures of Elmo in Grouchland,Andy Hill (producer),TRUE
2000,Best Musical Show Album,Annie Get Your Gun (The New Broadway Cast),"Stephen Ferrera (producer), John McDaniel (producer)",TRUE
2000,Best New Age Album,Celtic Solstice,Paul Winter,TRUE
2000,Best New Artist,Christina Aguilera,,TRUE
2000,Best New Artist,Kid Rock,,FALSE
2000,Best New Artist,Susan Tedeschi,,FALSE
2000,Best Opera Recording,Stravinsky: The Rake's Progress,"Ian Bostridge, Bryn Terfel, Anne Sofie von Otter, Deborah York, John Eliot Gardiner (conductor), Nicholas Parker (producer), Monteverdi Choir (artist), London Symphony Orchestra (artist)",TRUE
2000,Best Orchestral Performance,Stravinsky: Firebird; The Rite Of Spring; Perséphone,"Michael Tilson Thomas (conductor), San Francisco Symphony (artist)",TRUE
2000,Best Polka Album,Polkasonic,Brave Combo,TRUE
2000,Best Pop Album,Brand New Day,Sting,TRUE
2000,Best Pop Album,Believe,Cher,FALSE
2000,Best Pop Album,Mirrorball,Sarah McLachlan (singer),FALSE
2000,Best Pop Instrumental Performance,El Farol,Santana,TRUE
2000,Best Pop Performance by a Duo or Group with Vocal,Maria Maria,Santana,TRUE
2000,Best Pop/Contemporary Gospel Album,Speechless,Steven Curtis Chapman,TRUE
2000,Best R&B Album,Fanmail,TLC,TRUE
2000,Best R&B Performance by a Duo or Group with Vocal,No Scrubs,TLC,TRUE
2000,Best R&B Song,No Scrubs,"Kandi Burruss (songwriter), Tiny Harris (songwriter), TLC (artist), Kevin 'She'kspere' Briggs (songwriter)",TRUE
2000,Best Rap Album,The Slim Shady LP,Eminem,TRUE
2000,Best Rap Album,Da Real World,Missy Elliott,FALSE
2000,Best Rap Album,Things Fall Apart,The Roots,FALSE
2000,Best Rap Performance by a Duo or Group,You Got Me,"The Roots, Erykah Badu",TRUE
2000,Best Rap Solo Performance,My Name Is,Eminem,TRUE
2000,Best Recording Package,Ride With Bob,"Ray Benson (art director), Sally Carns (art director), Buddy Jackson (art director), Asleep at the Wheel (artist)",TRUE
2000,Best Reggae Album,Calling Rastafari,Burning Spear,TRUE
2000,Best Rock Album,Supernatural,Santana,TRUE
2000,Best Rock Gospel Album,Pray,Rebecca St. James,TRUE
2000,Best Rock Instrumental Performance,The Calling,"Santana, Eric Clapton",TRUE
2000,Best Rock Performance by a Duo or Group with Vocal,Put Your Lights On,"Santana, Erik Schrody",TRUE
2000,Best Rock Song,Scar Tissue,Red Hot Chili Peppers (songwriters),TRUE
2000,Best Salsa Performance,Llego...Van Van - Van Van Is Here,Los Van Van,TRUE
2000,Best Short Form Music Video,Korn: Freak on a Leash,"Korn (artist), Todd McFarlane (video director), Jonathan Dayton (video director), Valerie Faris (video director), Graham Morris (video director), Bart Lipton (video producer), Terry Fitzgerald (video producer)",TRUE
