Theme,Song,Album Era,Lyric
Accidents and Planning,Mastermind,Midnights,And I swear / I'm only cryptic and Machiavellian 'cause I care
Accidents and Planning,Mastermind,Midnights,"On your face, you knew the entire time / You knew that I'm a mastermind"
Accidents and Planning,Paris,Midnights,I'm so in love that I might stop breathing / Drew a map on your bedroom ceiling
Accidents and Planning,High Infidelity,Midnights,Do I really have to chart the constellations in his eyes?
Accidents and Planning,… Dear Reader,Midnights,"Dear reader / Get out your map, pick somewhere and just run"
Accidents and Planning,Sweet Nothing,Midnights,"You say, ""What a mind"" / This happens all the time"
Accidents and Planning,Mastermind,Midnights,The dominoes cascaded in a line / What if I told you I'm a mastermind?
Accidents and Planning,"Would've, Could've, Should've",Midnights,The wound won't close / I keep on waiting for a sign / I regret you all the time
Accidents and Planning,The Story Of Us,Speak Now,"I don't know what to say / Since a twist of fate, when it all broke down"
Accidents and Planning,Long Live,Speak Now,Confetti falls to the ground / May these memories break our fall / Will you take a moment / Promise me this / That you'll stand by me forever / But if —God forbid— fate should step in
Accidents and Planning,Foolish One,Speak Now,"Chances are, tonight, you've already got plans"
Accidents and Planning,State of Grace,Red,These are the hands of fate / You're my Achilles heel / This is the golden age of something good and right and real
Accidents and Planning,Eyes Open,Red,"So here you are, two steps ahead and staying on guard / Every lesson forms a new scar"
Accidents and Planning,Babe,Red,"What a waste / Taking down the pictures and the plans we made, yeah"
Accidents and Planning,Nothing New,Red,"She'll know the way, and then she'll say she got the map from me / I'll say I'm happy for her, then I'll cry myself to sleep"
Accidents and Planning,Out of the Woods,1989,Remember when you hit the brakes too soon? / Twenty stitches in a hospital room
Accidents and Planning,Shake It Off,1989,I'm dancin' on my own (dancin' on my own) / I make the moves up as I go (moves up as I go)
Accidents and Planning,Look What You Made Me Do,1989,"The world moves on, another day another drama, drama / But not for me, not for me, all I think about is karma"
Accidents and Planning,End Game,reputation,"And I bury hatchets but I keep maps of where I put 'em,"
Accidents and Planning,I Did Something Bad,reputation,"If a man talks shit, then I owe him nothing / I don't regret it one bit, 'cause he had it comin'"
Accidents and Planning,Gorgeous,reputation,"""X"" marks the spot where we fell apart"
Accidents and Planning,Paper Rings,Lover,"I hate accidents, except when we went from friends to this"
Accidents and Planning,The Man,Lover,Every conquest I had made would make me more of a boss to you
Accidents and Planning,The Man,Lover,What I was wearing / If I was rude / Could all be separated from my good ideas and power moves?
Accidents and Planning,I Think He Knows,Lover,"I am an architect, I'm drawing up the plans"
Accidents and Planning,Death by a Thousand Cuts,Lover,Quiet my fears with the touch of your hand / Paper cut stings from our paper thin plans
Accidents and Planning,invisible string,folklore,"Time, curious time / Gave me no compasses, gave me no signs / Were there clues I didn't see?"
Accidents and Planning,hoax,folklore,My best laid plan
Accidents and Planning,willow,evermore,"I'm begging for you to take my hand / Wreck my plans, that's my man"
Aim and Hunting,Anti-Hero,Midnights,"Too big to hang out, slowly lurching toward your favorite city / Pierced through the heart, but never killed"
Aim and Hunting,The Great War,Midnights,Your finger on my hair pin triggers / Soldier down on that icy ground
Aim and Hunting,… Dear Reader,Midnights,"When you aim at the devil, make sure you don't miss"
Aim and Hunting,the lakes,folklore,I'm not cut out for all these cynical clones / These hunters with cell phones
Aim and Hunting,The Archer,Lover,I've been the archer / I've been the prey
Aim and Hunting,Cornelia Street,Lover,As if the streetlights pointed in an arrowhead / Leading us home
Aim and Hunting,You Need to Calm Down,Lover,You are somebody that we don't know / But you're coming at my friends like a missile
Aim and Hunting,Getaway Car,reputation,"I knew it from the first Old Fashioned, we were cursed / We never had a shotgun shot in the dark (oh!)"
Aim and Hunting,I Know Places,1989,"Cause they got the cages, they got the boxes / And guns / They are the hunters, we are the foxes / And we run"
Aim and Hunting,I Know Places,1989,"Baby, I know places we won't be found and / They'll be chasing their tails trying to track us down / 'Cause I, I know places we can hide / I know places"
Aim and Hunting,I Know Places,1989,"they take their shots, but we're bulletproof / I know places"
Aim and Hunting,I Knew You Were Trouble,Red,"I was in your sights, you got me alone"
Aim and Hunting,Nothing New,Red,Then they hunt and slay the ones who actually do it / Criticize the way you fly when you're soarin' through the sky
Aim and Hunting,Nothing New,Red,"Shoots you down and then they sigh, and say / ""She looks like she's been through it"""
Aim and Hunting,Run,Red,There's been this hole in my heart / This thing was a shot in the dark
Aim and Hunting,Tell Me Why,Fearless,"I took a chance, I took a shot / And you might think I'm bulletproof, but I'm not / You took a swing, I took it hard / And down here from the ground, I see who you are"
Apparel and Appearances,"You're on your own, kid",Midnights,I looked around in a blood-soaked gown
Apparel and Appearances,Vigilante Shit,Midnights,"I don't dress for women, I don't dress for men, lately i've been dressing for revenge"
Apparel and Appearances,Maroon,Midnights,"the one I was dancing with in new york, no shoes"
Apparel and Appearances,Maroon,Midnights,Looked up at the sky and it was / The burgundy on my t-shirt
Apparel and Appearances,Bejeweled,Midnights,didn't notice you walking all over my peace of mind in the shoes I bought you as a present
Apparel and Appearances,Right where you left me,evermore,You could hear a hairpin drop
Apparel and Appearances,happiness,evermore,"There is a glorious sunrise dappled with flickers of light, from the dress I wore at midnight, leave it all behind"
Apparel and Appearances,Hits different,evermore,"I find the artifacts, cried over a hat"
Apparel and Appearances,Right where you left me,evermore,I could feel the mascara run
Apparel and Appearances,gold rush,evermore,with my eagles t-shirt hanging from the door
Apparel and Appearances,cowboy like me,evermore,"Now you hang from the lips like the gardens of babylon, with your boots beneath my bed"
Apparel and Appearances,long story short,evermore,"If the shoe fits, walk in it till your high heels breaks"
Apparel and Appearances,marjorie,evermore,"and he feels like home, if the shoe fits walk in it, everywhere you go"
Apparel and Appearances,cardigan,folklore,And when I felt like I was an old cardigan / Under someone's bed / You put me on and said I was your favorite
Apparel and Appearances,betty,folklore,Standing in your cardigan
Apparel and Appearances,epiphany,folklore,"Keep your helmet, keep your life son"
Apparel and Appearances,cardigan,folklore,But I knew you / Dancin' in your Levi's / Drunk under a streetlight
Apparel and Appearances,cardigan,folklore,"Sequin smile, black lipstick / Sensual politics"
Apparel and Appearances,cardigan,folklore,"Vintage tee, brand new phone / High heels on cobblestones"
Apparel and Appearances,invisible string,folklore,Teal was the color of your shirt
Apparel and Appearances,mirrorball,folklore,"You'll find me on my tallest tiptoes / Spinnin' in my highest heels, love / Shinin' just for you"
Apparel and Appearances,cardigan,folklore,"I knew you / Hand under my sweatshirt / Baby, kiss it better"
Apparel and Appearances,Soon You'll Get Better,Lover,The buttons of my coat were tangled in my hair
Apparel and Appearances,Miss Americana & The Heartbreak Prince,Lover,American glory / Faded before me / Now I'm feeling hopeless / Ripped up my prom dress / Running through rose thorns / I saw the scoreboard / And ran for my life
Apparel and Appearances,Death By A Thousand Cuts,Lover,I dress to kill my time / I take the long way home / I ask the traffic lights if it'll be all right
Apparel and Appearances,It's Nice to Have a Friend,Lover,"Lost my gloves, you give me one / ""Wanna hang out?"""
Apparel and Appearances,You Need To Calm Down,Lover,"You need to just stop / Like, can you just not step on my gown?"
Apparel and Appearances,Cornelia Street,Lover,"Autumn air, jacket round my shoulders is yours"
Apparel and Appearances,Dress,reputation,Only bought this dress so you could take it off
Apparel and Appearances,King Of My Heart,reputation,"Now you try on calling me ""Baby"" / Like trying on clothes"
Apparel and Appearances,Delicate,reputation,"Dark jeans and your Nikes, look at you / Oh, damn, never seen that color blue; / Echoes of your footsteps on the stairs / Stay here, honey, I don't want to share"
Apparel and Appearances,I Did Something Bad,reputation,I can feel the flames on my skin / Crimson red paint on my lips
Apparel and Appearances,So It Goes,reputation,Getting caught up in a moment / Lipstick on your face
Apparel and Appearances,Delicate,reputation,"Dark jeans and your Nikes, look at you / Oh, damn, never seen that color blue"
Apparel and Appearances,New Year's Day,reputation,Girls carrying their shoes down in the lobby
Apparel and Appearances,Dress,reputation,"You made your mark on me, golden tattoo"
Apparel and Appearances,Wildest Dreams,1989,"His hands are in my hair, his clothes are in my room"
Apparel and Appearances,Style,1989,"He can't keep his wild eyes on the road / Takes me home / Lights are off, he's taking off his coat"
Apparel and Appearances,You Are In Love,1989,Buttons on a coat / You keep his shirt / He keeps his word
Apparel and Appearances,Wildest Dreams,1989,"Say you'll remember me / Standing in a nice dress / Staring at the sunset, babe"
Apparel and Appearances,Wildest Dreams,1989,"Say you'll remember me / Standing in a nice dress / Staring at the sunset, babe / Red lips and rosy cheeks; / His hands are in my hair, his clothes are in my room"
Apparel and Appearances,Clean,1989,You're still all over me / Like a wine-stained dress I can't wear anymore
Apparel and Appearances,Blank Space,1989,"I get drunk on jealousy / But you'll come back each time you leave / 'Cause, darling, I'm a nightmare dressed like a daydream"
Apparel and Appearances,Style,1989,You got that James Dean daydream look in your eye / And I got that red lip classic thing that you like
Apparel and Appearances,Wildest Dreams,1989,Red lips and rosy cheeks / Say you'll see me again
Apparel and Appearances,New Romantics,1989,We play dumb but we know exactly what we're doin' / We cry tears of mascara in the bathroom
Apparel and Appearances,Style,1989,"You got that long hair, slicked back, white t-shirt / And I got that good girl faith and a tight little skirt"
Apparel and Appearances,Blank Space,1989,"New money, suit and tie / I can read you like a magazine"
Apparel and Appearances,I Bet You Think About Me,Red,I bet you think about me in your house / With your organic shoes and your million-dollar couch
Apparel and Appearances,I Bet You Think About Me,Red,There's a heart on your sleeve / I'll take it when I leave / And hold it for you
Apparel and Appearances,State of Grace,Red,"You come around, and the armor falls"
Apparel and Appearances,I Knew You Were Trouble,Red,"A new notch in your belt is all I'll ever be / And now I see, now I see, now I see, e-e-e-e"
Apparel and Appearances,Holy Ground,Red,Spinning like a girl in a brand-new dress
Apparel and Appearances,The Moment I Knew,Red,And it was like slow motion / Standing there in my party dress / In red lipstick
Apparel and Appearances,Stay Stay Stay,Red,That's when you came in wearing a football helmet
Apparel and Appearances,All Too Well,Red,"And I, left my scarf there at your sister's house / And you've still got it in your drawer even now"
Apparel and Appearances,All Too Well,Red,But you keep my old scarf from that very first week
Apparel and Appearances,I Almost Do,Red,"But you keep my old scarf from that very first week / 'Cause it reminds you of innocence, and it smells like me"
Apparel and Appearances,All Too Well,Red,"After plaid shirt days and nights when you made me your own / Now you mail back my things, and I walk home alone"
Apparel and Appearances,Begin Again,Red,Took a deep breath in the mirror / He didn't like it when I wore high heels
Apparel and Appearances,I Can See You,Speak Now,"I can see you in your suit and your necktie / Passed me a note sayin’, ""Meet me tonight"""
Apparel and Appearances,Long Live,Speak Now,We are the kings and the queens / You traded your baseball cap for a crown
Apparel and Appearances,The Story Of Us,Speak Now,See me nervously pulling at my clothes and trying to look busy
Apparel and Appearances,Last Kiss,Speak Now,But now I'll go / Sit on the floor wearing your clothes
Apparel and Appearances,Dear John,Speak Now,"Don't you think I was too young to be messed with? / The girl in the dress, cried the whole way home, I should've known"
Apparel and Appearances,Better Than Revenge,Speak Now,"Oh, they didn't teach you that in prep school, so it's up to me / But no amount of vintage dresses gives you dignity"
Apparel and Appearances,Speak Now,Speak Now,And she is yelling at a bridesmaid / Somewhere back inside a room / Wearing a gown shaped like a pastry
Apparel and Appearances,Long Live,Speak Now,"And The Cynics were outraged / Screaming, ""This is absurd!"" / 'Cause for a moment a band of thieves in ripped up jeans / Got to rule the world"
Apparel and Appearances,Never Grow Up,Speak Now,And don't lose the way that you dance / Around in your PJs getting ready for school
Apparel and Appearances,Last Kiss,Speak Now,"That July ninth, the beat of your heart / It jumps through your shirt / I can still feel your arms"
Apparel and Appearances,Speak Now,Speak Now,"And you'll say, ""Let's run away now"" / I'll meet you when I'm out of my tux at the back door / Baby, I didn't say my vows / So glad you were around / When they said, ""Speak now"""
Apparel and Appearances,I Can See Y,Speak Now,"And what would you do? Baby, if you only knew, oh, oh, oh / That I could see you throw your jacket on the floor"
Apparel and Appearances,Mr. Perfectly Fine,Fearless,"So dignified in your well-pressed suit / So strategized, all the eyes on you"
Apparel and Appearances,Fearless,Fearless,"And I don't know why but with you I'd dance / In a storm in my best dress, fearless"
Apparel and Appearances,Love Story,Fearless,"I talked to your dad, go pick out a white dress"
Apparel and Appearances,The Other Side Of the Door,Fearless,"And I broke down crying, was she worth this mess? / After everything and that little black dress / After everything I must confess, I need you"
Apparel and Appearances,Today Was A Fairytale,Fearless,Today was a fairytale / I wore a dress / You wore a dark grey t-shirt
Apparel and Appearances,Love Story,Fearless,"See the lights, see the party, the ball gowns / See you make your way through the crowd"
Apparel and Appearances,You Belong With Me,Fearless,Walk in the streets with you in your worn-out jeans
Apparel and Appearances,You Belong With Me,Fearless,"Cause she wears short skirts, I wear t-shirts"
Apparel and Appearances,You Belong With Me,Fearless,"She wears high heels, I wear sneakers"
Apparel and Appearances,Tim McGraw,Taylor Swift,The moon like a spotlight on the lake / When you think happiness / I hope you think that little black dress
Apparel and Appearances,Tim McGraw,Taylor Swift,Think of my head on your chest / And my old faded blue jeans / When you think Tim McGraw / I hope you think of me
Apparel and Appearances,A Place In This World,Taylor Swift,"Got the radio on, my old blue jeans / And I'm wearing my heart on my sleeve"
Arguments and Battles,Question…?,Midnights,Did you lеave her house in the middle of the night? (Oh) / Did you wish you'd put up more of a fight (oh)
Arguments and Battles,Sweet Nothing,Midnights,"Outside, they're push and shoving / You're in the kitchen humming"
Arguments and Battles,Sweet Nothing,Midnights,Industry disruptors and soul deconstructors / And smooth-talking hucksters out glad-handing each other
Arguments and Battles,The Great War,Midnights,"Sucker punching walls, cursed you as I sleep talked"
Arguments and Battles,The Great War,Midnights,"Tore your banners down, took the battle underground"
Arguments and Battles,The Great War,Midnights,And maybe it was egos swinging / Maybe it was her / Flashes of the battle come back to me in a blur
Arguments and Battles,The Great War,Midnights,My hand was the one you reached for / All throughout the Great War
Arguments and Battles,The Great War,Midnights,I vowed not to cry anymore / If we survived the Great War
Arguments and Battles,The Great War,Midnights,"Soldier down on that icy ground / Looked up at me with honor and truth / Broken and blue, so I called off the troops"
Arguments and Battles,High Infidelity,Midnights,"Lock broken, slur spoken / Wound open, game token"
Arguments and Battles,High Infidelity,Midnights,High infidelity / Put on your headphones and burn my city
Arguments and Battles,"Would've, Could've, Should've",Midnights,Can't let this go / I fight with you in my sleep
Arguments and Battles,"Would've, Could've, Should've",Midnights,Years of tearing down our banners / You and I
Arguments and Battles,"Would've, Could've, Should've",Midnights,Living for the thrill of hitting you where it hurts
Arguments and Battles,Hits different,Midnights,"Bet I could still melt your world / Argumentative, antithetical dream girl"
Arguments and Battles,You're Losing Me,Midnights,Mendin' all her gashes / You might just have dealt the final blow
Arguments and Battles,You're Losing Me,Midnights,"I gave you all my best me's, my endless empathy / And all I did was bleed as I tried to be the bravest soldier"
Arguments and Battles,You're Losing Me,Midnights,"Fighting in only your army / Frontlines, don't you ignore me / I'm the best thing at this party"
Arguments and Battles,gold rush,evermore,"At dinner parties, I call you out on your contrarian shit / And the coastal town we wandered 'round / Had nevеr seen a love as pure as it"
Arguments and Battles,tolerate it,evermore,I greet you with a battle hero's welcome
Arguments and Battles,ivy,evermore,"So yeah, it's a war / It's the goddamn fight of my life / And you started it"
Arguments and Battles,long story short,evermore,I tried to pick my battles 'til the battle picked me
Arguments and Battles,long story short,evermore,Misery / Like the war of words I shouted in my sleep
Arguments and Battles,long story short,evermore,Your nemeses / Will defeat themselves before you get the chance to swing
Arguments and Battles,evermore,evermore,Can't remember / What I used to fight for
Arguments and Battles,evermore,evermore,It was real enough (Whether weather be the frost) / To get me through / (Or the violence of the dog days)
Arguments and Battles,the last great american dynasty,folklore,"and in a feud with her neighbor, she stole his dog and dyed it a key lime green"
Arguments and Battles,my tears richochet,folklore,I didn't have it in myself to go with grace / And so the battleships will sink beneath the waves
Arguments and Battles,mad woman,folklore,What did you think I'd say to that? / Does a scorpion sting when fighting back?
Arguments and Battles,mad woman,folklore,"They strike to kill, and you know I will / You know I will"
Arguments and Battles,mad woman,folklore,"My cannons all firin' at your yacht / They say, ""Move on"", but you know I won't"
Arguments and Battles,peace,folklore,And you know that I'd swing with you for the fences / Sit with you in the trenches
Arguments and Battles,All of the Girls You Loved Before,Lover,When you think of all the late nights / Lame fights over the phone
Arguments and Battles,I Forgot that You Existed,Lover,"And I would've stuck around for ya / Would've fought the whole town, so yeah"
Arguments and Battles,The Archer,Lover,"Combat / I'm ready for combat / I say I don't want that, but what if I do?"
Arguments and Battles,Paper Rings,Lover,"Honey, without all the exes, fights, and flaws / We wouldn't be standing here so tall, so"
Arguments and Battles,False God,Lover,Honey hell is when I fight with you
Arguments and Battles,Afterglow,Lover,Fighting with a true love / Is boxing with no gloves
Arguments and Battles,Afterglow,Lover,"This ultraviolet morning light below / Tells me this love is worth the fight, oh"
Arguments and Battles,End Game,reputation,"Even when we'd argue, we don't do it for long / And you understand the good and bad, end up in the song"
Arguments and Battles,This Is Why We Can't Have Nice Thigs,reputation,But you stabbed me in the back while shaking my hand
Arguments and Battles,Call It What You Want,reputation,"And I know I make the same mistakes every time / Bridges burn, I never learn"
Arguments and Battles,I Wish You Would,1989,I wish we could go back / And remember what we were fighting for
Arguments and Battles,Bad Blood,1989,Now we got problems / And I don't think we can solve 'em
Arguments and Battles,Bad Blood,1989,"Did you have to hit me / Where I'm weak? Baby, I couldn't breathe"
Arguments and Battles,I Know Places,1989,"(I) they take their shots, but we're bulletproof"
Arguments and Battles,Clean,1989,Hung my head as I lost the war / And the sky turned black like a perfect storm
Arguments and Battles,You Are In Love,1989,You fight and you talk
Arguments and Battles,You Are In Love,1989,And you understand now why they lost their minds and fought the wars
Arguments and Battles,New Romantics,1989,And every day is like a battle / But every night with us is like a dream
Arguments and Battles,Eyes Open,Red,Playing soldiers just pretending / Dreaming dreams with happy endings
Arguments and Battles,Eyes Open,Red,"In backyards, winning battles with our wooden swords / But now we've stepped into a cruel world / Where everybody stands and keeps score"
Arguments and Battles,Eyes Open,Red,It's a showdown (showdown) and nobody comes to save you now / But you've got something they don't
Arguments and Battles,Safe and Sound,Red,
Arguments and Battles,State of Grace,Red,This is a state of grace / This is the worthwhile fight
Arguments and Battles,Red,Red,Fighting with him was like trying to solve a crossword / And realizing there's no right answer
Arguments and Battles,We Are Never Getting Back Together,Red,"I'm really gonna miss you picking fights / And me falling for it, screaming that I'm right"
Arguments and Battles,Stay Stay Stay,Red,This morning I said we should talk about it / 'Cause I read you should never leave a fight unresolved
Arguments and Battles,All Too Well (10 Minute Version),Red,I'm a soldier who's returning half her weight
Arguments and Battles,Speak Now,Speak Now,You learn my secrets and you figure out why I'm guarded / You say we'll never make my parents' mistakes
Arguments and Battles,Speak Now,Speak Now,You have knocked me off my feet again
Arguments and Battles,Dear John,Speak Now,"You, picking on the weaker man / Got me feeling like I'm nothing"
Arguments and Battles,Mean,Speak Now,"Someday, I'll be big enough so you can't hit me / And all you're ever gonna be is mean / Why you gotta be so mean?"
Arguments and Battles,The Story Of Us,Speak Now,The battle's in your hands now / But I would lay my armor down / If you say you'd rather love than fight
Arguments and Battles,Innocent,Speak Now,I guess you really did it this time / Left yourself in your warpath / Lost your balance on a tightrope / Lost your mind tryin' to get it back
Arguments and Battles,Long Live,Speak Now,I had the time of my life fighting dragons with you
Arguments and Battles,If This Was A Movie,Fearless,"You would before you said it's not that easy / Before the fight, before I locked you out / But I take it all back now"
Arguments and Battles,White Horse,Fearless,"My mistake, I didn't know to be in love / You had to fight to have the upper hand"
Arguments and Battles,Tell Me Why,Fearless,"You took a swing, I took it hard / And down here from the ground, I see who you are"
Arguments and Battles,Change,Fearless,"And it's a sad picture, the final blow hits you"
Arguments and Battles,Change,Fearless,It's hard to fight when the fight ain't fair
Arguments and Battles,Change,Fearless,"Tonight we'll stand, get off our knees / Fight for what we've worked for all these years"
Arguments and Battles,Change,Fearless,"And the battle was long, it's the fight of our lives / But we'll stand up, champions tonight"
Arguments and Battles,The Other Side Of the Door,Fearless,"In the heat of the fight, I walked away / Ignorin' words that you were sayin'"
Arguments and Battles,Bye Bye Baby,Fearless,"Lost in the gray / And I try to grab at the fray / 'Cause I, I still love you but I can't"
Arguments and Battles,Cold As You,Taylor Swift,So I start a fight 'cause I need to feel somethin' / And you do what you want 'cause I'm not what you wanted
Arguments and Battles,Mary's Song,Taylor Swift,"Take me back to the house in the backyard tree / Said you'd beat me up, you were bigger than me"
Arguments and Battles,Our Song,Taylor Swift,Take me back to the time we had our very first fight / The slamming of doors instead of kissing goodnight
Body Parts,Lavender Haze,Midnights,Get it off your chest / Get it off my desk
Body Parts,Maroon,Midnights,Laughing with my feet in your lap / Like you were my closest friend
Body Parts,Maroon,Midnights,"And how the blood rushed into my cheeks / So scarlet, it was"
Body Parts,Maroon,Midnights,the mark they saw on my collarbone
Body Parts,Maroon,Midnights,"The lips I used to call home / So scarlet, it was maroon"
Body Parts,Maroon,Midnights,Sobbing with your head in your hands / Ain't that the way shit always ends?
Body Parts,Maroon,Midnights,You were standing hollow-eyed in the hallway
Body Parts,Anti-hero,Midnights,"Too big to hang out, slowly lurching toward your favorite city / Pierced through the heart, but never killed"
Body Parts,Snow on the Beach,Midnights,My smile is like I won a contest / And to hide that would be so dishonest
Body Parts,Snow on the Beach,Midnights,But your eyes are flying saucers from another planet / Now I'm all for you like Janet / Can this be a real thing? Can it?
Body Parts,"You're on your own, kid",Midnights,I search the party of better bodies / Just to learn that you never cared
Body Parts,"You're on your own, kid",Midnights,I search the party of better bodies / Just to learn that my dreams aren't rare
Body Parts,"You're on your own, kid",Midnights,I hosted parties and starved my body / Like I'd be saved by a perfect kiss
Body Parts,Question…?,Midnights,half-moon eyes
Body Parts,Mastermind,Midnights,I knew I wanted your body
Body Parts,The Great War,Midnights,my hand was the one you reached for
Body Parts,Bigger Than The Whole Sky,Midnights,Salt streams out my eyes and into my ears
Body Parts,High Infidelity,Midnights,Do I really have to chart the constellations in his eyes?
Body Parts,Hits different,Midnights,Dreams of your hair and your stare and sense of belief
Body Parts,Hits different,Midnights,A wrinkle in time like the crease by your eyes
Body Parts,You're Losing Me,Midnights,I can't find a pulse / My heart won't start anymore / For you / 'Cause you're losin' me
Body Parts,You're Losing Me,Midnights,"Every mornin', I glared at you with storms in my eyes / How can you say that you love someone you can't tell is dyin'?"
Body Parts,You're Losing Me,Midnights,I sent you signals and bit my nails down to the quick
Body Parts,You're Losing Me,Midnights,"My face was gray, but you wouldn't admit that we were sick"
Body Parts,champagne problems,evermore,I dropped your hand while dancing
Body Parts,gold rush,evermore,with your hair failing into place like dominos
Body Parts,gold rush,evermore,I don't like anticipating my face in a red flush
Body Parts,coney island,evermore,"When I got into the accident, the sight that flashed before me was your face."
Body Parts,ivy,evermore,My pain fits in the palm of your freezing hand
Body Parts,cowboy like me,evermore,"Now you hang from the lips like the gardens of babylon, with your boots beneath my bed"
Body Parts,long story short,evermore,Clung to the nearest lips 
Body Parts,marjorie,evermore,"Long limbs and frozen swims, you'd always go past where our feet could touch"
Body Parts,it's time to go,evermore,fifteen million tears begging till my knees bled
Body Parts,exile,folklore,"I can see you standing, honey with his arms around your body"
Body Parts,exile,folklore,"I can see you starin', honey / Like he's just your understudy / Like you'd get your knuckles bloody for me"
Body Parts,illicit affairs,folklore,"Hood over your head, keep your eyes down"
Body Parts,invisible string,folklore,"Out of all the wrong arms, right into that dive bar"
Body Parts,epiphany,folklore,Holds your hand through plastic now
Body Parts,the lakes,folklore,What should be over burrowed under my skin
Body Parts,All of the Girls You Loved Before,Lover,"A heart is drawn around your name / In someone's handwriting, not mine"
Body Parts,All of the Girls You Loved Before,Lover,"We're sneakin' out into town / Holdin' hands, just killin' time"
Body Parts,I forgot that you existed,Lover,"Your name on my lips, tongue-tied / Free rent, living in my mind"
Body Parts,Cruel Summer,Lover,"Devils roll the dice, angels roll their eyes"
Body Parts,Cruel Summer,Lover,"And it's new, the shape of your body / It's blue, the feeling I've got / And it's ooh, whoa, oh / It's a cruel summer"
Body Parts,Cruel Summer,Lover,Hang your head low / In the glow of the vending machine / I'm not dying
Body Parts,Cruel Summer,Lover,"So cut the headlights, summer's a knife / I'm always waiting for you just to cut to the bone"
Body Parts,The Archer,Lover,"Dark side / I search for your dark side / But what if I'm all right, right, right, right here? / And I cut off my nose just to spite my face / Then hate my reflection, for years and years"
Body Parts,I Think He Knows,Lover,"Lyrical smile, indigo eyes, hand on my thigh / We could follow the sparks, I'll drive"
Body Parts,Paper Rings,Lover,"I want your dreary Mondays / Wrap your arms around me, baby boy"
Body Parts,Cornelia Street,Lover,"But then you called, showed your hand / I turned around before I hit the tunnel / Sat on the roof, you and I"
Body Parts,Cornelia Street,Lover,You hold my hand on the street / Walk me back to that apartment
Body Parts,Cornelia Street,Lover,"Barefoot in the kitchen / Sacred new beginnings / That became my religion, listen"
Body Parts,Death By A Thousand Cuts,Lover,"Windows swung right open, autumn air / Jacket 'round my shoulders is yours"
Body Parts,Death By A Thousand Cuts,Lover,"My heart, my hips, my body, my love / Trying to find a part of me that you didn't touch"
Body Parts,Death By A Thousand Cuts,Lover,Quiet my fears with the touch of your hand / Paper cut stings from our paper thin plans
Body Parts,False God,Lover,Religion's in your lips / Even if it's a false god
Body Parts,You Need To Calm Down,Lover,And snakes and stones never broke my bones so
Body Parts,Afterglow,Lover,"I pinned your hands behind your back, oh / Thought I had reason to attack, but no"
Body Parts,Afterglow,Lover,"Why'd I have to break what I love so much? / It's on your face, and I'm to blame, I need to say"
Body Parts,Afterglow,Lover,Hey / It's all me in my head
Body Parts,Afterglow,Lover,Tell me that I'm all you want / Even when I break your heart
Body Parts,Me!,Lover,"I know that I'm a handful, baby, uh / I know I never think before I jump"
Body Parts,It's Nice to Have a Friend ,Lover,Something gave you the nerve / To touch my hand
Body Parts,End Game,reputation,"Reputation precedes me, in rumors I'm knee deep / The truth is it's easier to ignore it, believe me"
Body Parts,End Game,reputation,And I can't let you go / Your hand prints on my soul / It's like your eyes are liquor
Body Parts,I Did Something Bad,reputation,I can feel the flames on my skin / Crimson red paint on my lips
Body Parts,Don't Blame Me,reputation,"I've been breakin' hearts a long time, and / Toyin' with them older guys"
Body Parts,Don't Blame Me,reputation,Just to touch your face / If you walk away / I'd beg you on my knees to stay
Body Parts,Delicate,reputation,Long night with your hands up in my hair
Body Parts,Delicate,reputation,"Sometimes when I look into your eyes / I pretend you're mine, all the damn time"
Body Parts,So It Goes…,reputation,"All eyes on you, my magician / All eyes on us"
Body Parts,So It Goes…,reputation,Lipstick on your face
Body Parts,So It Goes…,reputation,Scratches down your back now
Body Parts,So It Goes…,reputation,"Met you in a bar / All eyes on me, your illusionist / All eyes on us"
Body Parts,So It Goes…,reputation,"But I got your heart / Skippin', skip-skippin' when I'm gone"
Body Parts,Gorgeous,reputation,"And you should think about the consequence / Of you touching my hand in the darkened room (dark room, dark room)"
Body Parts,Gorgeous,reputation,You're so gorgeous / I can't say anything to your face / 'Cause look at your face
Body Parts,Getaway Car,reputation,Ridin' in a getaway car / There were sirens in the beat of your heart
Body Parts,Getaway Car,reputation,The light of freedom on my face
Body Parts,King Of My Heart,reputation,"And all at once, you are the one I have been waiting for / King of my heart, body and soul, ooh whoa"
Body Parts,King Of My Heart,reputation,The taste of your lips is my idea of luxury
Body Parts,King Of My Heart,reputation,Is this the end of all the endings? / My broken bones are mending
Body Parts,Dancing with our hands tied,reputation,I could've spent forever with your hands in my pockets / Picture of your face in an invisible locket
Body Parts,Dress,reputation,Flashback when you met me / Your buzzcut and my hair bleached
Body Parts,Dress,reputation,"All of this silence and patience, pining in anticipation / My hands are shaking from holding back from you (ah, ah, ah)"
Body Parts,Dress,reputation,"I'm spilling wine in the bathtub, you kiss my face and we're both drunk"
Body Parts,This Is Why We Can't Have Nice Things,reputation,"So why'd you have to rain on my parade? / I'm shaking my head, I'm locking the gates"
Body Parts,This Is Why We Can't Have Nice Things,reputation,But you stabbed me in the back while shaking my hand
Body Parts,This Is Why We Can't Have Nice Things,reputation,"Cause forgiveness is a nice thing to do / Hahaha, I can't even say it with a straight face!"
